participant_id,unitdur,threshold_percentage
1,0.4,0.33668341708542715
3,0.4,0.542713567839196
4,0.4,0.5276381909547738
5,0.4,0.19597989949748745
6,0.4,0.24120603015075376
7,0.4,0.5477386934673367
9,0.4,0.507537688442211
10,0.4,0.542713567839196
11,0.4,0.7386934673366834
12,0.4,0.6884422110552764
13,0.4,0.31155778894472363
14,0.4,0.5175879396984925
15,0.4,0.22613065326633167
17,0.4,0.5678391959798995
18,0.4,0.48743718592964824
20,0.4,0.35678391959798994
21,0.4,0.5728643216080402
24,0.4,0.542713567839196
25,0.4,0.3417085427135678
27,0.4,0.3919597989949749
28,0.4,0.8994974874371859
29,0.4,0.5477386934673367
30,0.4,0.36683417085427134
31,0.4,0.6130653266331658
34,0.4,0.5527638190954774
35,0.4,0.48743718592964824
36,0.4,0.48743718592964824
1,0.7,0.592964824120603
3,0.7,0.2562814070351759
4,0.7,0.4623115577889447
5,0.7,0.3768844221105528
6,0.7,0.36180904522613067
7,0.7,0.40703517587939697
9,0.7,0.5879396984924623
10,0.7,0.6030150753768845
11,0.7,0.6532663316582915
12,0.7,0.507537688442211
13,0.7,0.35678391959798994
14,0.7,0.6381909547738693
15,0.7,0.5125628140703518
17,0.7,0.6080402010050251
18,0.7,0.40703517587939697
20,0.7,0.45226130653266333
21,0.7,0.48743718592964824
24,0.7,0.7286432160804021
25,0.7,0.32160804020100503
27,0.7,0.4221105527638191
28,0.7,0.7839195979899498
29,0.7,0.6180904522613065
30,0.7,0.507537688442211
31,0.7,0.6030150753768845
34,0.7,0.5829145728643216
35,0.7,0.36180904522613067
36,0.7,0.628140703517588
1,1.0,0.4321608040201005
3,1.0,0.5025125628140703
4,1.0,0.5628140703517588
5,1.0,0.40703517587939697
6,1.0,0.4824120603015075
7,1.0,0.6030150753768845
9,1.0,0.6130653266331658
10,1.0,0.5527638190954774
11,1.0,0.45226130653266333
12,1.0,0.4623115577889447
13,1.0,0.4623115577889447
14,1.0,0.5125628140703518
15,1.0,0.5829145728643216
17,1.0,0.5125628140703518
18,1.0,0.34673366834170855
20,1.0,0.18592964824120603
21,1.0,0.5728643216080402
24,1.0,0.4371859296482412
25,1.0,0.2663316582914573
27,1.0,0.17587939698492464
28,1.0,0.5527638190954774
29,1.0,0.6884422110552764
30,1.0,0.46733668341708545
31,1.0,0.6180904522613065
34,1.0,0.45226130653266333
35,1.0,0.7487437185929648
36,1.0,0.5376884422110553
